Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
54.361,3.75,1310.2,0.00076325,-6.2107,-6.1192,66.662,37.963,53.084,1135.1,-0.38326,796.48,0.20322,liquid
55.82,3.75,1304.2,0.00076674,-6.1337,-6.0417,68.068,36.824,53.08,1141.1,-0.38033,736.88,0.20123,liquid
57.28,3.75,1298.1,0.00077034,-6.0566,-5.9642,69.439,35.978,53.14,1142.9,-0.37741,682.88,0.19923,liquid
58.739,3.75,1291.9,0.00077405,-5.9795,-5.8866,70.777,35.33,53.22,1141.3,-0.3747,634.04,0.19721,liquid
60.199,3.75,1285.6,0.00077784,-5.9022,-5.8089,72.084,34.815,53.296,1137.1,-0.37226,589.89,0.1952,liquid
61.658,3.75,1279.3,0.0007817,-5.8248,-5.731,73.361,34.391,53.359,1131,-0.37007,549.97,0.19318,liquid
63.117,3.75,1272.9,0.00078562,-5.7474,-5.6531,74.61,34.03,53.406,1123.5,-0.36811,513.86,0.19116,liquid
64.577,3.75,1266.4,0.00078961,-5.6699,-5.5752,75.831,33.712,53.436,1114.9,-0.36631,481.15,0.18914,liquid
66.036,3.75,1260,0.00079366,-5.5924,-5.4972,77.025,33.424,53.453,1105.5,-0.36462,451.48,0.18712,liquid
67.496,3.75,1253.5,0.00079777,-5.5149,-5.4191,78.194,33.159,53.459,1095.6,-0.363,424.52,0.1851,liquid
68.955,3.75,1247,0.00080194,-5.4374,-5.3411,79.338,32.908,53.457,1085.2,-0.3614,399.98,0.18308,liquid
70.414,3.75,1240.4,0.00080616,-5.3599,-5.2631,80.457,32.67,53.451,1074.6,-0.35977,377.6,0.18106,liquid
71.874,3.75,1233.9,0.00081045,-5.2824,-5.1851,81.553,32.44,53.442,1063.7,-0.35808,357.15,0.17904,liquid
73.333,3.75,1227.3,0.00081479,-5.2049,-5.1071,82.628,32.217,53.434,1052.7,-0.3563,338.41,0.17702,liquid
74.793,3.75,1220.7,0.00081919,-5.1275,-5.0292,83.681,32,53.428,1041.5,-0.35441,321.22,0.17501,liquid
76.252,3.75,1214.1,0.00082367,-5.05,-4.9512,84.713,31.788,53.426,1030.3,-0.35237,305.41,0.17298,liquid
77.711,3.75,1207.4,0.0008282,-4.9726,-4.8732,85.726,31.58,53.429,1019,-0.35017,290.83,0.17096,liquid
79.171,3.75,1200.7,0.00083281,-4.8952,-4.7952,86.72,31.376,53.439,1007.7,-0.34779,277.36,0.16894,liquid
80.63,3.75,1194,0.0008375,-4.8177,-4.7172,87.696,31.176,53.457,996.39,-0.34521,264.89,0.16691,liquid
82.09,3.75,1187.3,0.00084225,-4.7403,-4.6392,88.655,30.98,53.484,985.03,-0.34241,253.32,0.16488,liquid
83.549,3.75,1180.5,0.00084709,-4.6628,-4.5611,89.598,30.788,53.519,973.64,-0.33939,242.56,0.16285,liquid
85.008,3.75,1173.7,0.00085202,-4.5852,-4.483,90.525,30.599,53.565,962.24,-0.33611,232.53,0.16082,liquid
86.468,3.75,1166.8,0.00085703,-4.5076,-4.4048,91.438,30.413,53.621,950.81,-0.33258,223.17,0.15878,liquid
87.927,3.75,1159.9,0.00086214,-4.4299,-4.3265,92.336,30.231,53.688,939.36,-0.32878,214.4,0.15673,liquid
89.387,3.75,1152.9,0.00086734,-4.3521,-4.2481,93.22,30.053,53.767,927.89,-0.32468,206.17,0.15469,liquid
90.846,3.75,1145.9,0.00087265,-4.2742,-4.1695,94.092,29.878,53.857,916.39,-0.32028,198.44,0.15264,liquid
92.305,3.75,1138.9,0.00087806,-4.1962,-4.0909,94.951,29.706,53.96,904.85,-0.31555,191.16,0.15058,liquid
93.765,3.75,1131.7,0.00088359,-4.118,-4.012,95.798,29.538,54.076,893.28,-0.31049,184.29,0.14852,liquid
95.224,3.75,1124.6,0.00088923,-4.0397,-3.933,96.634,29.373,54.206,881.66,-0.30506,177.78,0.14646,liquid
96.684,3.75,1117.3,0.00089501,-3.9612,-3.8538,97.46,29.212,54.349,869.99,-0.29926,171.62,0.14439,liquid
98.143,3.75,1110,0.00090091,-3.8825,-3.7744,98.275,29.054,54.507,858.27,-0.29305,165.77,0.14232,liquid
99.602,3.75,1102.6,0.00090696,-3.8035,-3.6947,99.081,28.899,54.681,846.49,-0.28642,160.21,0.14024,liquid
101.06,3.75,1095.1,0.00091315,-3.7243,-3.6148,99.878,28.747,54.871,834.65,-0.27933,154.9,0.13816,liquid
102.52,3.75,1087.5,0.0009195,-3.6449,-3.5345,100.67,28.599,55.078,822.73,-0.27175,149.84,0.13607,liquid
103.98,3.75,1079.9,0.00092601,-3.5651,-3.454,101.45,28.455,55.303,810.73,-0.26365,144.99,0.13398,liquid
