Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
54.361	6.2500	1312.9	0.00076168	-6.2206	-6.0683	66.476	37.781	52.792	1142.7	-0.38541	811.84	0.20408	liquid
55.820	6.2500	1307.0	0.00076512	-6.1442	-5.9912	67.875	36.719	52.839	1148.4	-0.38220	751.17	0.20212	liquid
57.280	6.2500	1300.9	0.00076868	-6.0678	-5.9140	69.240	35.933	52.935	1149.9	-0.37910	696.21	0.20016	liquid
58.739	6.2500	1294.8	0.00077233	-5.9912	-5.8367	70.573	35.330	53.040	1148.1	-0.37628	646.51	0.19818	liquid
60.199	6.2500	1288.6	0.00077606	-5.9144	-5.7592	71.876	34.849	53.134	1143.8	-0.37379	601.58	0.19620	liquid
61.658	6.2500	1282.3	0.00077986	-5.8376	-5.6816	73.149	34.452	53.209	1137.7	-0.37160	560.96	0.19422	liquid
63.117	6.2500	1276.0	0.00078373	-5.7607	-5.6039	74.395	34.111	53.262	1130.2	-0.36967	524.21	0.19223	liquid
64.577	6.2500	1269.6	0.00078765	-5.6837	-5.5262	75.613	33.810	53.296	1121.7	-0.36793	490.92	0.19025	liquid
66.036	6.2500	1263.2	0.00079163	-5.6067	-5.4484	76.804	33.535	53.314	1112.4	-0.36633	460.72	0.18827	liquid
67.496	6.2500	1256.8	0.00079566	-5.5297	-5.3706	77.969	33.278	53.318	1102.6	-0.36482	433.28	0.18629	liquid
68.955	6.2500	1250.4	0.00079975	-5.4527	-5.2928	79.110	33.036	53.312	1092.5	-0.36334	408.30	0.18430	liquid
70.414	6.2500	1244.0	0.00080389	-5.3757	-5.2150	80.226	32.803	53.300	1082.0	-0.36186	385.52	0.18232	liquid
71.874	6.2500	1237.5	0.00080809	-5.2988	-5.1372	81.320	32.578	53.285	1071.3	-0.36034	364.70	0.18034	liquid
73.333	6.2500	1231.0	0.00081234	-5.2219	-5.0594	82.390	32.359	53.268	1060.5	-0.35875	345.63	0.17836	liquid
74.793	6.2500	1224.5	0.00081665	-5.1450	-4.9817	83.440	32.144	53.253	1049.6	-0.35705	328.13	0.17638	liquid
76.252	6.2500	1218.0	0.00082102	-5.0682	-4.9040	84.469	31.934	53.240	1038.6	-0.35523	312.04	0.17439	liquid
77.711	6.2500	1211.5	0.00082545	-4.9914	-4.8263	85.478	31.728	53.232	1027.6	-0.35327	297.20	0.17241	liquid
79.171	6.2500	1204.9	0.00082995	-4.9146	-4.7486	86.469	31.526	53.230	1016.6	-0.35114	283.50	0.17043	liquid
80.630	6.2500	1198.3	0.00083452	-4.8378	-4.6710	87.441	31.327	53.234	1005.5	-0.34884	270.81	0.16844	liquid
82.090	6.2500	1191.7	0.00083916	-4.7611	-4.5933	88.396	31.132	53.246	994.42	-0.34634	259.05	0.16645	liquid
83.549	6.2500	1185.0	0.00084387	-4.6843	-4.5155	89.334	30.940	53.266	983.34	-0.34363	248.10	0.16446	liquid
85.008	6.2500	1178.3	0.00084865	-4.6075	-4.4378	90.257	30.752	53.295	972.25	-0.34070	237.91	0.16247	liquid
