Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
13.957,20.265,43.627,0.022922,-63.877,166.55,-4.7456,5.2664,6.1043,1755.5,-1.7392,65.374,0.11015,liquid
20.531,20.265,42.168,0.023715,-29.027,209.37,-2.2447,5.6245,7.1151,1687.7,-1.4606,32.304,0.13004,liquid
22.174,20.265,41.766,0.023943,-19.342,221.35,-1.6838,5.7602,7.461,1672.1,-1.3815,28.542,0.13364,liquid
23.817,20.265,41.349,0.024184,-9.2158,233.9,-1.1378,5.8935,7.8168,1656.7,-1.3064,25.555,0.13672,liquid
25.461,20.265,40.917,0.024439,1.3597,247.04,-0.60437,6.022,8.1769,1641.2,-1.2361,23.136,0.1393,liquid
27.104,20.265,40.471,0.024709,12.384,260.78,-0.08177,6.1434,8.5364,1625.6,-1.1707,21.146,0.14141,liquid
28.748,20.265,40.011,0.024993,23.851,275.1,0.4311,6.2563,8.8912,1609.7,-1.1102,19.484,0.14308,liquid
30.391,20.265,39.539,0.025291,35.748,290,0.93499,6.3595,9.2384,1593.6,-1.0542,18.08,0.14433,liquid
32.034,20.265,39.055,0.025605,48.058,305.46,1.4304,6.4525,9.5758,1577.2,-1.0024,16.88,0.14522,liquid
33.678,20.265,38.56,0.025933,60.763,321.46,1.9176,6.5354,9.902,1560.6,-0.95415,15.844,0.14576,supercritical
35.321,20.265,38.056,0.026277,73.84,338,2.3968,6.6085,10.216,1543.9,-0.90912,14.943,0.14601,supercritical
36.965,20.265,37.543,0.026636,87.267,355.03,2.8683,6.6722,10.518,1527.1,-0.86685,14.153,0.14599,supercritical
38.608,20.265,37.021,0.027011,101.02,372.56,3.3321,6.7274,10.807,1510.2,-0.82696,13.455,0.14573,supercritical
40.251,20.265,36.493,0.027402,115.08,390.55,3.7883,6.7747,11.082,1493.3,-0.78913,12.834,0.14527,supercritical
41.895,20.265,35.959,0.027809,129.42,408.98,4.237,6.8151,11.345,1476.5,-0.75308,12.278,0.14465,supercritical
43.538,20.265,35.42,0.028233,144.01,427.83,4.6784,6.8492,11.595,1459.9,-0.71858,11.779,0.14388,supercritical
45.182,20.265,34.876,0.028673,158.84,447.08,5.1124,6.8778,11.831,1443.4,-0.68545,11.329,0.14299,supercritical
46.825,20.265,34.329,0.02913,173.88,466.71,5.5391,6.9019,12.054,1427.3,-0.65354,10.92,0.14202,supercritical
48.469,20.265,33.78,0.029603,189.1,486.69,5.9585,6.9221,12.264,1411.4,-0.62274,10.548,0.14098,supercritical
50.112,20.265,33.23,0.030093,204.5,507.01,6.3708,6.9391,12.461,1395.9,-0.59299,10.209,0.13953,supercritical
51.755,20.265,32.68,0.0306,220.03,527.64,6.7759,6.9535,12.645,1380.9,-0.56423,9.8981,0.13838,supercritical
53.399,20.265,32.131,0.031123,235.7,548.56,7.1738,6.966,12.815,1366.4,-0.53643,9.613,0.13722,supercritical
55.042,20.265,31.583,0.031662,251.46,569.76,7.5647,6.9772,12.972,1352.3,-0.50958,9.3509,0.13606,supercritical
56.686,20.265,31.039,0.032218,267.32,591.19,7.9484,6.9874,13.115,1338.9,-0.4837,9.1096,0.1349,supercritical
58.329,20.265,30.498,0.032789,283.24,612.85,8.3251,6.9971,13.245,1326,-0.45879,8.8871,0.13377,supercritical
59.972,20.265,29.963,0.033375,299.21,634.72,8.6948,7.0068,13.363,1313.7,-0.43486,8.6818,0.13266,supercritical
61.616,20.265,29.433,0.033976,315.22,656.77,9.0575,7.0167,13.468,1302.1,-0.41194,8.4921,0.13159,supercritical
63.259,20.265,28.91,0.03459,331.25,678.98,9.4132,7.0272,13.561,1291.1,-0.39006,8.3169,0.13055,supercritical
64.903,20.265,28.394,0.035219,347.29,701.34,9.7621,7.0384,13.643,1280.8,-0.36922,8.1549,0.12956,supercritical
66.546,20.265,27.887,0.03586,363.33,723.81,10.104,7.0506,13.713,1271,-0.34944,8.0051,0.12862,supercritical
68.189,20.265,27.388,0.036512,379.35,746.4,10.439,7.064,13.774,1261.9,-0.33074,7.8667,0.12773,supercritical
69.833,20.265,26.899,0.037177,395.36,769.08,10.768,7.0787,13.825,1253.5,-0.31311,7.7388,0.12689,supercritical
71.476,20.265,26.419,0.037851,411.33,791.84,11.09,7.0948,13.868,1245.6,-0.29655,7.6207,0.1261,supercritical
73.12,20.265,25.95,0.038536,427.27,814.66,11.406,7.1123,13.903,1238.3,-0.28106,7.5117,0.12536,supercritical
