Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
54.361	20.265	41.481	0.024108	-196	-180.73	2.0461	1.1523	1.6039	1183.3	-0.39635	899.71	0.2088	liquid
57.604	20.265	41.084	0.02434	-190.91	-175.49	2.1396	1.1134	1.6244	1187.1	-0.38651	759.88	0.20487	liquid
60.846	20.265	40.676	0.024584	-185.77	-170.2	2.229	1.0912	1.6383	1177.5	-0.37993	648.02	0.20089	liquid
64.089	20.265	40.263	0.024837	-180.61	-164.88	2.3143	1.0747	1.6448	1161.2	-0.37579	558.48	0.1969	liquid
67.332	20.265	39.847	0.025096	-175.43	-159.54	2.3955	1.06	1.6462	1141.5	-0.37309	486.39	0.1929	liquid
70.575	20.265	39.431	0.025361	-170.27	-154.2	2.4729	1.0458	1.6444	1120.4	-0.3711	427.88	0.1889	liquid
73.817	20.265	39.014	0.025632	-165.11	-148.88	2.5467	1.0318	1.6411	1098.7	-0.36928	379.94	0.18491	liquid
77.06	20.265	38.596	0.025909	-159.97	-143.56	2.6172	1.0179	1.6373	1076.8	-0.36728	340.29	0.18092	liquid
80.303	20.265	38.178	0.026193	-154.85	-138.26	2.6846	1.0044	1.6337	1055	-0.3649	307.15	0.17693	liquid
83.546	20.265	37.758	0.026484	-149.74	-132.97	2.7492	0.99115	1.6306	1033.3	-0.36196	279.18	0.17294	liquid
86.788	20.265	37.337	0.026783	-144.64	-127.68	2.8112	0.97837	1.6283	1011.7	-0.35837	255.34	0.16895	liquid
90.031	20.265	36.913	0.027091	-139.56	-122.41	2.8709	0.96607	1.6269	990.27	-0.35406	234.82	0.16496	liquid
93.274	20.265	36.486	0.027407	-134.49	-117.13	2.9285	0.95425	1.6264	968.98	-0.34896	217	0.16097	liquid
96.517	20.265	36.057	0.027734	-129.42	-111.86	2.9841	0.94292	1.627	947.81	-0.34303	201.39	0.15698	liquid
99.759	20.265	35.624	0.028071	-124.36	-106.58	3.0379	0.93207	1.6284	926.76	-0.3362	187.58	0.15299	liquid
103	20.265	35.186	0.02842	-119.29	-101.29	3.09	0.92169	1.6309	905.79	-0.32843	175.28	0.14901	liquid
106.24	20.265	34.744	0.028782	-114.23	-96	3.1406	0.91176	1.6343	884.9	-0.31965	164.23	0.14503	liquid
109.49	20.265	34.297	0.029157	-109.16	-90.693	3.1898	0.90225	1.6387	864.09	-0.30981	154.23	0.14107	liquid
112.73	20.265	33.844	0.029547	-104.08	-85.371	3.2377	0.89315	1.6439	843.34	-0.29881	145.14	0.13711	liquid
115.97	20.265	33.385	0.029953	-99	-80.031	3.2844	0.88444	1.6502	822.64	-0.28657	136.8	0.13317	liquid
119.22	20.265	32.92	0.030377	-93.906	-74.668	3.33	0.87612	1.6574	802	-0.27299	129.13	0.12927	liquid
122.46	20.265	32.448	0.030819	-88.798	-69.281	3.3746	0.86816	1.6656	781.42	-0.25794	122.03	0.12539	liquid
125.7	20.265	31.968	0.031281	-83.675	-63.865	3.4182	0.86055	1.6748	760.89	-0.24131	115.44	0.12155	liquid
128.94	20.265	31.48	0.031766	-78.535	-58.418	3.461	0.85329	1.6851	740.42	-0.22294	109.29	0.11774	liquid
132.19	20.265	30.984	0.032275	-73.375	-52.935	3.503	0.84637	1.6965	720.03	-0.20266	103.54	0.11397	liquid
135.43	20.265	30.478	0.03281	-68.193	-47.414	3.5443	0.83978	1.709	699.72	-0.18029	98.143	0.11025	liquid
138.67	20.265	29.963	0.033375	-62.987	-41.85	3.5849	0.83352	1.7227	679.5	-0.15563	93.074	0.10659	liquid
141.91	20.265	29.437	0.033971	-57.754	-36.24	3.6249	0.8276	1.7377	659.4	-0.12844	88.303	0.10298	liquid
145.16	20.265	28.9	0.034602	-52.492	-30.579	3.6643	0.82199	1.754	639.44	-0.09848	83.806	0.099445	liquid
148.4	20.265	28.352	0.035271	-47.2	-24.863	3.7033	0.81672	1.7716	619.64	-0.065488	79.564	0.095979	liquid
151.64	20.265	27.791	0.035983	-41.876	-19.088	3.7418	0.81176	1.7905	600.05	-0.029179	75.561	0.092593	liquid
154.89	20.265	27.218	0.03674	-36.517	-13.249	3.7798	0.80712	1.8108	580.71	0.010738	71.783	0.089294	supercritical
158.13	20.265	26.632	0.037549	-31.123	-7.3428	3.8176	0.80279	1.8322	561.67	0.054557	68.219	0.086089	supercritical
161.37	20.265	26.033	0.038413	-25.692	-1.3652	3.855	0.79877	1.8547	542.99	0.10256	64.858	0.082983	supercritical
164.61	20.265	25.42	0.039339	-20.227	4.687	3.8921	0.79503	1.8781	524.74	0.155	61.692	0.079984	supercritical
167.86	20.265	24.794	0.040332	-14.727	10.816	3.929	0.79155	1.902	507	0.21208	58.713	0.077097	supercritical
