Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
54.361,10,1316.9,0.00075938,-6.235,-5.992,66.2,37.52,52.373,1153.9,-0.38851,835.05,0.20535,liquid
55.82,10,1311,0.00076276,-6.1596,-5.9155,67.589,36.571,52.493,1159.1,-0.38487,772.78,0.20345,liquid
57.28,10,1305.1,0.00076625,-6.084,-5.8388,68.946,35.87,52.643,1160.2,-0.3815,716.37,0.20154,liquid
58.739,10,1299,0.00076982,-6.0082,-5.7618,70.272,35.331,52.785,1158.2,-0.37851,665.36,0.19962,liquid
60.199,10,1292.9,0.00077347,-5.9322,-5.6847,71.569,34.901,52.906,1153.8,-0.37594,619.25,0.19769,liquid
61.658,10,1286.7,0.00077718,-5.8561,-5.6074,72.838,34.542,52.998,1147.6,-0.37374,577.56,0.19576,liquid
63.117,10,1280.5,0.00078096,-5.7799,-5.53,74.078,34.231,53.062,1140.2,-0.37184,539.84,0.19383,liquid
64.577,10,1274.2,0.00078478,-5.7037,-5.4526,75.292,33.952,53.102,1131.8,-0.37018,505.67,0.1919,liquid
66.036,10,1268,0.00078866,-5.6274,-5.375,76.479,33.695,53.12,1122.7,-0.36869,474.66,0.18997,liquid
67.496,10,1261.7,0.00079259,-5.5511,-5.2975,77.64,33.453,53.122,1113,-0.36732,446.49,0.18804,liquid
68.955,10,1255.4,0.00079656,-5.4749,-5.22,78.776,33.221,53.112,1103.1,-0.36602,420.84,0.18611,liquid
70.414,10,1249.1,0.00080059,-5.3987,-5.1425,79.888,32.996,53.093,1092.9,-0.36474,397.45,0.18418,liquid
71.874,10,1242.8,0.00080467,-5.3225,-5.065,80.977,32.778,53.068,1082.5,-0.36343,376.07,0.18225,liquid
73.333,10,1236.4,0.00080879,-5.2464,-4.9876,82.044,32.564,53.041,1072,-0.36208,356.49,0.18032,liquid
74.793,10,1230.1,0.00081297,-5.1704,-4.9102,83.089,32.353,53.013,1061.4,-0.36066,338.53,0.1784,liquid
76.252,10,1223.7,0.0008172,-5.0944,-4.8329,84.113,32.147,52.987,1050.7,-0.35913,322,0.17647,liquid
77.711,10,1217.3,0.00082149,-5.0184,-4.7556,85.117,31.943,52.964,1040.1,-0.35748,306.78,0.17454,liquid
79.171,10,1210.9,0.00082583,-4.9425,-4.6783,86.103,31.743,52.945,1029.4,-0.35569,292.71,0.17261,liquid
80.63,10,1204.5,0.00083024,-4.8667,-4.601,87.069,31.546,52.932,1018.7,-0.35375,279.7,0.17068,liquid
82.09,10,1198,0.0008347,-4.7909,-4.5238,88.019,31.352,52.925,1008,-0.35165,267.63,0.16875,liquid
83.549,10,1191.6,0.00083924,-4.7151,-4.4465,88.952,31.161,52.924,997.37,-0.34936,256.41,0.16681,liquid
85.008,10,1185.1,0.00084384,-4.6393,-4.3693,89.868,30.973,52.932,986.7,-0.34689,245.96,0.16488,liquid
86.468,10,1178.5,0.00084851,-4.5635,-4.292,90.769,30.789,52.947,976.03,-0.34421,236.21,0.16294,liquid
87.927,10,1172,0.00085325,-4.4878,-4.2147,91.656,30.608,52.97,965.37,-0.34132,227.09,0.161,liquid
89.387,10,1165.4,0.00085808,-4.412,-4.1374,92.528,30.43,53.003,954.71,-0.33822,218.54,0.15906,liquid
90.846,10,1158.8,0.00086298,-4.3362,-4.06,93.386,30.256,53.044,944.06,-0.33488,210.51,0.15712,liquid
92.305,10,1152.1,0.00086797,-4.2603,-3.9826,94.232,30.084,53.094,933.4,-0.3313,202.96,0.15517,liquid
93.765,10,1145.4,0.00087305,-4.1844,-3.9051,95.066,29.916,53.153,922.74,-0.32747,195.85,0.15323,liquid
95.224,10,1138.7,0.00087822,-4.1085,-3.8274,95.887,29.752,53.222,912.07,-0.32338,189.12,0.15128,liquid
96.684,10,1131.9,0.00088348,-4.0324,-3.7497,96.697,29.59,53.301,901.39,-0.31902,182.76,0.14933,liquid
98.143,10,1125.1,0.00088885,-3.9563,-3.6719,97.496,29.432,53.389,890.7,-0.31437,176.73,0.14737,liquid
99.602,10,1118.2,0.00089432,-3.8801,-3.5939,98.285,29.277,53.488,879.99,-0.30943,171,0.14542,liquid
101.06,10,1111.2,0.0008999,-3.8037,-3.5157,99.064,29.125,53.597,869.26,-0.30417,165.56,0.14346,liquid
102.52,10,1104.2,0.0009056,-3.7272,-3.4374,99.833,28.976,53.717,858.51,-0.29859,160.36,0.1415,liquid
103.98,10,1097.2,0.00091141,-3.6506,-3.3589,100.59,28.831,53.847,847.74,-0.29266,155.41,0.13955,liquid
105.44,10,1090.1,0.00091736,-3.5738,-3.2803,101.34,28.688,53.989,836.94,-0.28638,150.67,0.13758,liquid
106.9,10,1082.9,0.00092343,-3.4968,-3.2014,102.09,28.548,54.143,826.11,-0.27971,146.14,0.13562,liquid
108.36,10,1075.7,0.00092965,-3.4197,-3.1222,102.82,28.411,54.309,815.24,-0.27265,141.79,0.13366,liquid
109.82,10,1068.4,0.00093601,-3.3423,-3.0428,103.55,28.277,54.488,804.34,-0.26516,137.61,0.1317,liquid
111.28,10,1061,0.00094253,-3.2648,-2.9632,104.27,28.146,54.68,793.39,-0.25722,133.6,0.12975,liquid
112.74,10,1053.5,0.00094921,-3.187,-2.8832,104.99,28.018,54.886,782.4,-0.24881,129.73,0.12779,liquid
114.2,10,1046,0.00095606,-3.1089,-2.803,105.69,27.893,55.107,771.37,-0.2399,126,0.12584,liquid
115.66,10,1038.3,0.00096309,-3.0306,-2.7224,106.39,27.771,55.343,760.28,-0.23045,122.41,0.12388,liquid
117.12,10,1030.6,0.00097031,-2.9519,-2.6414,107.09,27.652,55.595,749.14,-0.22043,118.93,0.12193,liquid
118.57,10,1022.8,0.00097773,-2.873,-2.5601,107.78,27.535,55.865,737.95,-0.2098,115.57,0.11998,liquid
120.03,10,1014.9,0.00098536,-2.7937,-2.4784,108.46,27.422,56.153,726.69,-0.19851,112.31,0.11803,liquid
121.49,10,1006.8,0.00099322,-2.714,-2.3962,109.15,27.312,56.461,715.37,-0.18653,109.15,0.11608,liquid
122.95,10,998.68,0.0010013,-2.634,-2.3136,109.82,27.204,56.789,703.99,-0.1738,106.09,0.11413,liquid
124.41,10,990.41,0.0010097,-2.5535,-2.2304,110.49,27.1,57.14,692.53,-0.16025,103.11,0.11219,liquid
125.87,10,982.03,0.0010183,-2.4726,-2.1468,111.16,26.999,57.516,680.99,-0.14584,100.22,0.11025,liquid
127.33,10,973.5,0.0010272,-2.3912,-2.0625,111.83,26.902,57.917,669.38,-0.13049,97.407,0.10831,liquid
128.79,10,964.84,0.0010364,-2.3093,-1.9777,112.49,26.808,58.347,657.68,-0.11412,94.666,0.10638,liquid
130.25,10,956.02,0.001046,-2.2269,-1.8922,113.15,26.717,58.807,645.89,-0.096648,91.996,0.10445,liquid
131.71,10,947.05,0.0010559,-2.1439,-1.806,113.81,26.63,59.301,634.01,-0.077974,89.392,0.10252,liquid
133.17,10,937.9,0.0010662,-2.0603,-1.7191,114.46,26.546,59.832,622.03,-0.057991,86.851,0.1006,liquid
134.63,10,928.58,0.0010769,-1.976,-1.6314,115.12,26.467,60.402,609.94,-0.03658,84.369,0.098691,liquid
136.09,10,919.06,0.0010881,-1.891,-1.5428,115.77,26.391,61.017,597.75,-0.013603,81.944,0.096783,liquid
137.55,10,909.33,0.0010997,-1.8051,-1.4533,116.43,26.32,61.68,585.44,0.011093,79.572,0.09488,liquid
139.01,10,899.38,0.0011119,-1.7185,-1.3627,117.08,26.253,62.397,573.02,0.037681,77.25,0.092985,liquid
140.47,10,889.19,0.0011246,-1.631,-1.2711,117.74,26.192,63.174,560.46,0.06636,74.977,0.091096,liquid
141.92,10,878.75,0.001138,-1.5424,-1.1783,118.4,26.135,64.017,547.78,0.097352,72.75,0.089214,liquid
143.38,10,868.02,0.001152,-1.4529,-1.0842,119.06,26.084,64.935,534.96,0.13091,70.565,0.087339,liquid
144.84,10,856.99,0.0011669,-1.3621,-0.98873,119.72,26.039,65.937,522.01,0.16734,68.421,0.085472,liquid
146.3,10,845.64,0.0011825,-1.2701,-0.89171,120.38,26,67.032,508.9,0.20696,66.315,0.083613,liquid
147.76,10,833.93,0.0011991,-1.1767,-0.79302,121.06,25.967,68.234,495.65,0.25016,64.246,0.081761,liquid
