Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
13.957,2.568,78.993,0.012659,-0.11707,-0.051538,-6.8376,10.493,13.652,1346.2,-1.6351,30.258,0.099353,liquid
14.875,2.568,78.332,0.012766,-0.10492,-0.038837,-5.9564,10.548,14.048,1332.1,-1.5769,27.01,0.10109,liquid
15.181,2.568,78.106,0.012803,-0.10079,-0.03451,-5.6685,10.594,14.22,1327.2,-1.5531,26.068,0.10163,liquid
15.488,2.568,77.877,0.012841,-0.096603,-0.03013,-5.3828,10.645,14.404,1322.2,-1.5285,25.185,0.10215,liquid
15.794,2.568,77.645,0.012879,-0.092363,-0.025691,-5.099,10.699,14.595,1317.1,-1.5032,24.355,0.10265,liquid
16.1,2.568,77.411,0.012918,-0.088067,-0.021193,-4.817,10.754,14.793,1312,-1.4777,23.573,0.10313,liquid
16.406,2.568,77.173,0.012958,-0.083714,-0.016634,-4.5364,10.809,14.996,1306.8,-1.4521,22.834,0.10359,liquid
16.712,2.568,76.932,0.012999,-0.079302,-0.012012,-4.2573,10.864,15.203,1301.6,-1.4265,22.136,0.10403,liquid
17.018,2.568,76.687,0.01304,-0.074831,-0.0073257,-3.9795,10.918,15.413,1296.3,-1.401,21.474,0.10445,liquid
17.324,2.568,76.439,0.013082,-0.070299,-0.002575,-3.7028,10.971,15.626,1290.9,-1.3756,20.847,0.10485,liquid
17.63,2.568,76.187,0.013126,-0.065707,0.0022414,-3.4272,11.023,15.842,1285.4,-1.3504,20.251,0.10523,liquid
17.937,2.568,75.932,0.01317,-0.061052,0.0071245,-3.1526,11.073,16.061,1279.8,-1.3252,19.684,0.10559,liquid
18.243,2.568,75.674,0.013215,-0.056334,0.012075,-2.879,11.122,16.284,1274.1,-1.3002,19.143,0.10593,liquid
18.549,2.568,75.411,0.013261,-0.051553,0.017094,-2.6061,11.171,16.509,1268.4,-1.2753,18.628,0.10625,liquid
18.855,2.568,75.145,0.013308,-0.046708,0.022183,-2.334,11.218,16.737,1262.5,-1.2505,18.137,0.10655,liquid
19.161,2.568,74.875,0.013356,-0.041797,0.027342,-2.0626,11.265,16.97,1256.5,-1.2257,17.667,0.10683,liquid
19.467,2.568,74.601,0.013405,-0.036821,0.032572,-1.7918,11.311,17.205,1250.3,-1.201,17.217,0.10709,liquid
19.773,2.568,74.323,0.013455,-0.031777,0.037876,-1.5215,11.357,17.445,1244.1,-1.1763,16.787,0.10733,liquid
20.079,2.568,74.04,0.013506,-0.026665,0.043253,-1.2516,11.402,17.688,1237.8,-1.1517,16.374,0.10755,liquid
20.385,2.568,73.754,0.013559,-0.021484,0.048706,-0.98213,11.446,17.936,1231.3,-1.127,15.978,0.10775,liquid
20.692,2.568,73.463,0.013612,-0.016233,0.054234,-0.71293,11.49,18.188,1224.7,-1.1024,15.598,0.10793,liquid
20.998,2.568,73.169,0.013667,-0.01091,0.059841,-0.44396,11.533,18.444,1217.9,-1.0776,15.233,0.10809,liquid
21.304,2.568,72.869,0.013723,-0.0055151,0.065527,-0.17513,11.576,18.706,1211.1,-1.0529,14.882,0.10824,liquid
21.61,2.568,72.565,0.013781,-4.59E-05,0.071294,0.093632,11.619,18.972,1204.1,-1.028,14.544,0.10836,liquid
21.916,2.568,72.257,0.01384,0.0054985,0.077143,0.36239,11.661,19.243,1197,-1.0031,14.218,0.10846,liquid
22.222,2.568,71.943,0.0139,0.011119,0.083076,0.63123,11.703,19.521,1189.8,-0.978,13.904,0.10855,liquid
22.528,2.568,71.625,0.013962,0.016818,0.089095,0.90023,11.744,19.803,1182.4,-0.95279,13.601,0.10861,liquid
22.834,2.568,71.302,0.014025,0.022597,0.095201,1.1694,11.785,20.092,1174.9,-0.92741,13.309,0.10866,liquid
23.141,2.568,70.973,0.01409,0.028457,0.1014,1.439,11.825,20.388,1167.2,-0.90183,13.026,0.10868,liquid
23.447,2.568,70.639,0.014156,0.034399,0.10768,1.7089,11.865,20.69,1159.5,-0.87604,12.753,0.10869,liquid
23.753,2.568,70.3,0.014225,0.040426,0.11406,1.9792,11.904,20.999,1151.5,-0.85001,12.488,0.10868,liquid
24.059,2.568,69.955,0.014295,0.046539,0.12054,2.2501,11.943,21.315,1143.5,-0.82369,12.231,0.10865,liquid
24.365,2.568,69.604,0.014367,0.052741,0.12711,2.5217,11.981,21.639,1135.3,-0.79707,11.983,0.1086,liquid
24.671,2.568,69.248,0.014441,0.059032,0.13379,2.7939,12.019,21.972,1126.9,-0.77011,11.742,0.10853,liquid
24.977,2.568,68.885,0.014517,0.065417,0.14057,3.067,12.056,22.314,1118.4,-0.74277,11.507,0.10844,liquid
25.283,2.568,68.515,0.014595,0.071895,0.14745,3.3409,12.092,22.665,1109.8,-0.71501,11.28,0.10833,liquid
25.589,2.568,68.139,0.014676,0.078472,0.15445,3.6158,12.128,23.026,1101,-0.6868,11.058,0.10821,liquid
25.896,2.568,67.756,0.014759,0.085147,0.16155,3.8918,12.163,23.397,1092,-0.65808,10.843,0.10806,liquid
26.202,2.568,67.366,0.014844,0.091926,0.16877,4.169,12.198,23.781,1082.9,-0.62881,10.633,0.10789,liquid
26.508,2.568,66.969,0.014932,0.098809,0.17611,4.4475,12.232,24.176,1073.6,-0.59894,10.428,0.10771,liquid
26.814,2.568,66.564,0.015023,0.1058,0.18357,4.7274,12.265,24.585,1064.2,-0.56842,10.228,0.1075,liquid
27.12,2.568,66.15,0.015117,0.11291,0.19116,5.0089,12.298,25.008,1054.6,-0.53718,10.033,0.10727,liquid
27.426,2.568,65.728,0.015214,0.12013,0.19889,5.2921,12.33,25.447,1044.8,-0.50517,9.842,0.10703,liquid
27.732,2.568,65.298,0.015314,0.12747,0.20675,5.577,12.361,25.902,1034.8,-0.4723,9.6552,0.10676,liquid
28.038,2.568,64.858,0.015418,0.13493,0.21475,5.8639,12.392,26.375,1024.6,-0.43851,9.4722,0.1065,liquid
28.345,2.568,64.408,0.015526,0.14252,0.22289,6.153,12.423,26.867,1014.2,-0.40372,9.2929,0.10622,liquid
28.651,2.568,63.949,0.015638,0.15024,0.2312,6.4443,12.453,27.381,1003.7,-0.36784,9.1169,0.10591,liquid
28.957,2.568,63.478,0.015753,0.15811,0.23966,6.7381,12.483,27.917,992.86,-0.33077,8.9439,0.10559,liquid
29.263,2.568,62.997,0.015874,0.16612,0.24829,7.0346,12.512,28.479,981.85,-0.2924,8.7739,0.10524,liquid
29.569,2.568,62.503,0.015999,0.17427,0.2571,7.334,12.541,29.069,970.62,-0.25262,8.6065,0.10487,liquid
29.875,2.568,61.997,0.01613,0.18259,0.26609,7.6366,12.57,29.689,959.15,-0.21131,8.4415,0.10447,liquid
30.181,2.568,61.477,0.016266,0.19107,0.27528,7.9426,12.598,30.342,947.44,-0.16832,8.2788,0.10405,liquid
