station,x_throat_mm,r_inner_mm,slot_pitch_mm,ch_per_slot,ch_width_mm,ch_height_mm,land_mm,wall_t_mm,r_floor_mm,r_ceiling_mm
Injector face,-388.023,226.682,3.652,1,1.000,2.000,2.652,1.000,227.682,229.682
Chamber arc START,-238.997,226.682,3.652,1,1.000,2.000,2.652,1.000,227.682,229.682
Chamber arc MID,-230.021,225.708,3.636,1,1.000,2.000,2.636,1.000,226.708,228.708
Chamber arc END,-221.045,222.634,3.587,1,1.000,2.000,2.587,1.000,223.634,225.634
Throat conv fillet START,-53.189,142.870,2.302,1,1.000,2.000,1.302,1.000,143.870,145.870
Throat conv fillet MID,-26.594,133.762,2.155,1,1.000,2.000,1.155,1.000,134.762,136.762
Throat,0.000,130.875,2.108,1,1.000,2.000,1.108,1.000,131.875,133.875
Throat div fillet MID,14.614,133.126,2.145,1,1.000,2.000,1.145,1.000,134.126,136.126
Throat div fillet END,29.229,140.655,2.266,1,1.000,2.000,1.266,1.000,141.655,143.655
Bell 5 mm,34.229,144.349,2.326,1,1.000,2.000,1.326,1.000,145.349,147.349
Bell 10 mm,39.229,147.904,2.383,1,1.000,2.000,1.383,1.000,148.904,150.904
Bell 15 mm,44.229,151.331,2.438,1,1.000,2.000,1.438,1.000,152.331,154.331
Bell 20 mm,49.229,154.643,2.491,1,1.000,2.000,1.491,1.000,155.643,157.643
Bell 25 mm,54.229,157.846,2.543,1,1.000,2.000,1.543,1.000,158.846,160.846
Bell 30 mm,59.229,160.950,2.593,1,1.000,2.000,1.593,1.000,161.950,163.950
Bell 35 mm,64.229,163.961,2.642,1,1.000,2.000,1.642,1.000,164.961,166.961
Bell 40 mm,69.229,166.885,2.689,1,1.000,2.000,1.689,1.000,167.885,169.885
Bell 45 mm,74.229,169.728,2.734,1,1.000,2.000,1.734,1.000,170.728,172.728
Bell 50 mm,79.229,172.496,2.779,1,1.000,2.000,1.779,1.000,173.496,175.496
Bell 55 mm,84.229,175.191,2.822,1,1.000,2.000,1.822,1.000,176.191,178.191
Bell 60 mm,89.229,177.819,2.865,1,1.000,2.000,1.865,1.000,178.819,180.819
Bell 65 mm,94.229,180.383,2.906,1,1.000,2.000,1.906,1.000,181.383,183.383
Bell 70 mm,99.229,182.887,2.946,1,1.000,2.000,1.946,1.000,183.887,185.887
Bell 75 mm,104.229,185.333,2.986,1,1.000,2.000,1.986,1.000,186.333,188.333
Bell 80 mm,109.229,187.725,3.024,1,1.000,2.000,2.024,1.000,188.725,190.725
Bell 85 mm,114.229,190.064,3.062,1,1.000,2.000,2.062,1.000,191.064,193.064
Bell 90 mm,119.229,192.355,3.099,1,1.000,2.000,2.099,1.000,193.355,195.355
Bell 95 mm,124.229,194.597,3.135,1,1.000,2.000,2.135,1.000,195.597,197.597
Bell 100 mm,129.229,196.795,3.171,1,1.000,2.000,2.171,1.000,197.795,199.795
Bell 105 mm,134.229,198.949,3.205,1,1.000,2.000,2.205,1.000,199.949,201.949
Bell 110 mm,139.229,201.061,3.239,1,1.000,2.000,2.239,1.000,202.061,204.061
Bell 115 mm,144.229,203.134,3.273,1,1.000,2.000,2.273,1.000,204.134,206.134
Bell 120 mm,149.229,205.168,3.305,1,1.000,2.000,2.305,1.000,206.168,208.168
