x_mm,r_inner_mm,r_floor_mm,r_centerline_mm,r_ceiling_mm
-189.71091,48.38320,49.38320,50.03320,50.68320
-188.71091,48.38320,49.38320,50.03268,50.68215
-187.71091,48.38320,49.38320,50.03215,50.68110
-186.71091,48.38320,49.38320,50.03162,50.68004
-185.71091,48.38320,49.38320,50.03110,50.67899
-184.71091,48.38320,49.38320,50.03057,50.67793
-183.71091,48.38320,49.38320,50.03004,50.67688
-182.71091,48.38320,49.38320,50.02951,50.67582
-181.71091,48.38320,49.38320,50.02899,50.67477
-180.71091,48.38320,49.38320,50.02846,50.67372
-179.71091,48.38320,49.38320,50.02793,50.67266
-178.71091,48.38320,49.38320,50.02741,50.67161
-177.71091,48.38320,49.38320,50.02688,50.67055
-176.71091,48.38320,49.38320,50.02635,50.66950
-175.71091,48.38320,49.38320,50.02582,50.66844
-174.71091,48.38320,49.38320,50.02530,50.66739
-173.71091,48.38320,49.38320,50.02477,50.66634
-172.71091,48.38320,49.38320,50.02424,50.66528
-171.71091,48.38320,49.38320,50.02372,50.66423
-170.71091,48.38320,49.38320,50.02319,50.66317
-169.71091,48.38320,49.38320,50.02266,50.66212
-168.71091,48.38320,49.38320,50.02213,50.66106
-167.71091,48.38320,49.38320,50.02161,50.66001
-166.71091,48.38320,49.38320,50.02108,50.65896
-165.71091,48.38320,49.38320,50.02055,50.65790
-164.71091,48.38320,49.38320,50.02003,50.65685
-163.71091,48.38320,49.38320,50.01950,50.65579
-162.71091,48.38320,49.38320,50.01897,50.65474
-161.71091,48.38320,49.38320,50.01844,50.65369
-160.71091,48.38320,49.38320,50.01792,50.65263
-159.71091,48.38320,49.38320,50.01739,50.65158
-158.71091,48.38320,49.38320,50.01686,50.65052
-157.71091,48.38320,49.38320,50.01634,50.64947
-156.71091,48.38320,49.38320,50.01581,50.64841
-155.71091,48.38320,49.38320,50.01528,50.64736
-154.71091,48.38320,49.38320,50.01475,50.64631
-153.71091,48.38320,49.38320,50.01423,50.64525
-152.71091,48.38320,49.38320,50.01370,50.64420
-151.71091,48.38320,49.38320,50.01317,50.64314
-150.71091,48.38320,49.38320,50.01265,50.64209
-149.71091,48.38320,49.38320,50.01212,50.64103
-148.71091,48.38320,49.38320,50.01159,50.63998
-147.71091,48.38320,49.38320,50.01106,50.63893
-146.71091,48.38320,49.38320,50.01054,50.63787
-145.71091,48.38320,49.38320,50.01001,50.63682
-144.71091,48.38320,49.38320,50.00948,50.63576
-143.71091,48.38320,49.38320,50.00896,50.63471
-142.71091,48.38320,49.38320,50.00843,50.63365
-141.71091,48.38320,49.38320,50.00790,50.63260
-140.71091,48.38320,49.38320,50.00737,50.63155
-139.71091,48.38320,49.38320,50.00685,50.63049
-138.71091,48.38320,49.38320,50.00632,50.62944
-137.71091,48.38320,49.38320,50.00579,50.62838
-136.71091,48.38320,49.38320,50.00527,50.62733
-135.71091,48.38320,49.38320,50.00474,50.62627
-134.71091,48.38320,49.38320,50.00421,50.62522
-133.71091,48.38320,49.38320,50.00369,50.62417
-132.71091,48.38320,49.38320,50.00316,50.62311
-131.71091,48.38320,49.38320,50.00263,50.62206
-130.71091,48.38320,49.38320,50.00210,50.62100
-129.71091,48.38320,49.38320,50.00158,50.61995
-128.71091,48.38320,49.38320,50.00105,50.61890
-127.71091,48.38320,49.38320,50.00052,50.61784
-126.71091,48.38320,49.38320,50.00000,50.61679
-125.71091,48.38320,49.38320,49.99947,50.61573
-124.71091,48.38320,49.38320,49.99894,50.61468
-123.71091,48.38320,49.38320,49.99841,50.61362
-122.71091,48.38320,49.38320,49.99789,50.61257
-121.71091,48.38320,49.38320,49.99736,50.61152
-120.71091,48.38320,49.38320,49.99683,50.61046
-119.71091,48.38320,49.38320,49.99631,50.60941
-118.71091,48.38320,49.38320,49.99578,50.60835
-117.71091,48.38320,49.38320,49.99525,50.60730
-116.71091,48.38320,49.38320,49.99472,50.60624
-115.71091,48.38320,49.38320,49.99420,50.60519
-114.71091,48.38320,49.38320,49.99367,50.60414
-113.71091,48.38320,49.38320,49.99314,50.60308
-112.71091,48.38320,49.38320,49.99262,50.60203
-111.71091,48.38320,49.38320,49.99209,50.60097
-110.71091,48.38320,49.38320,49.99156,50.59992
-109.71091,48.38320,49.38320,49.99103,50.59886
