x_mm,r_mm
-402.13086,41.93708
-401.93086,41.93708
-401.73086,41.93708
-401.53086,41.93708
-401.33086,41.93708
-401.13086,41.93708
-400.93086,41.93708
-400.73086,41.93708
-400.53086,41.93708
-400.33086,41.93708
-400.13086,41.93708
-399.93086,41.93708
-399.73086,41.93708
-399.53086,41.93708
-399.33086,41.93708
-399.13086,41.93708
-398.93086,41.93708
-398.73086,41.93708
-398.53086,41.93708
-398.33086,41.93708
-398.13086,41.93708
-397.93086,41.93708
-397.73086,41.93708
-397.53086,41.93708
-397.33086,41.93708
-397.13086,41.93708
-396.93086,41.93708
-396.73086,41.93708
-396.53086,41.93708
-396.33086,41.93708
-396.13086,41.93708
-395.93086,41.93708
-395.73086,41.93708
-395.53086,41.93708
-395.33086,41.93708
-395.13086,41.93708
-394.93086,41.93708
-394.73086,41.93708
-394.53086,41.93708
-394.33086,41.93708
-394.13086,41.93708
-393.93086,41.93708
-393.73086,41.93708
-393.53086,41.93708
-393.33086,41.93708
-393.13086,41.93708
-392.93086,41.93708
-392.73086,41.93708
-392.53086,41.93708
-392.33086,41.93708
-392.13086,41.93708
-391.93086,41.93708
-391.73086,41.93708
-391.53086,41.93708
-391.33086,41.93708
-391.13086,41.93708
-390.93086,41.93708
-390.73086,41.93708
-390.53086,41.93708
-390.33086,41.93708
-390.13086,41.93708
-389.93086,41.93708
-389.73086,41.93708
-389.53086,41.93708
-389.33086,41.93708
-389.13086,41.93708
-388.93086,41.93708
-388.73086,41.93708
-388.53086,41.93708
-388.33086,41.93708
-388.13086,41.93708
-387.93086,41.93708
-387.73086,41.93708
-387.53086,41.93708
-387.33086,41.93708
-387.13086,41.93708
-386.93086,41.93708
-386.73086,41.93708
-386.53086,41.93708
-386.33086,41.93708
-386.13086,41.93708
-385.93086,41.93708
-385.73086,41.93708
-385.53086,41.93708
-385.33086,41.93708
-385.13086,41.93708
-384.93086,41.93708
-384.73086,41.93708
-384.53086,41.93708
-384.33086,41.93708
-384.13086,41.93708
-383.93086,41.93708
-383.73086,41.93708
-383.53086,41.93708
-383.33086,41.93708
-383.13086,41.93708
-382.93086,41.93708
-382.73086,41.93708
-382.53086,41.93708
-382.33086,41.93708
-382.13086,41.93708
-381.93086,41.93708
-381.73086,41.93708
-381.53086,41.93708
-381.33086,41.93708
-381.13086,41.93708
-380.93086,41.93708
-380.73086,41.93708
-380.53086,41.93708
-380.33086,41.93708
-380.13086,41.93708
-379.93086,41.93708
-379.73086,41.93708
-379.53086,41.93708
-379.33086,41.93708
-379.13086,41.93708
-378.93086,41.93708
-378.73086,41.93708
-378.53086,41.93708
-378.33086,41.93708
-378.13086,41.93708
-377.93086,41.93708
-377.73086,41.93708
-377.53086,41.93708
-377.33086,41.93708
-377.13086,41.93708
-376.93086,41.93708
-376.73086,41.93708
-376.53086,41.93708
-376.33086,41.93708
-376.13086,41.93708
-375.93086,41.93708
-375.73086,41.93708
-375.53086,41.93708
-375.33086,41.93708
-375.13086,41.93708
-374.93086,41.93708
-374.73086,41.93708
-374.53086,41.93708
-374.33086,41.93708
-374.13086,41.93708
-373.93086,41.93708
-373.73086,41.93708
-373.53086,41.93708
-373.33086,41.93708
-373.13086,41.93708
-372.93086,41.93708
-372.73086,41.93708
-372.53086,41.93708
-372.33086,41.93708
-372.13086,41.93708
-371.93086,41.93708
-371.73086,41.93708
-371.53086,41.93708
-371.33086,41.93708
-371.13086,41.93708
-370.93086,41.93708
-370.73086,41.93708
-370.53086,41.93708
-370.33086,41.93708
-370.13086,41.93708
-369.93086,41.93708
-369.73086,41.93708
-369.53086,41.93708
-369.33086,41.93708
-369.13086,41.93708
-368.93086,41.93708
-368.73086,41.93708
-368.53086,41.93708
-368.33086,41.93708
-368.13086,41.93708
-367.93086,41.93708
-367.73086,41.93708
-367.53086,41.93708
-367.33086,41.93708
-367.13086,41.93708
-366.93086,41.93708
-366.73086,41.93708
