p MPa	T K	Cp kJ/kg-K	rho kg/m3	mu muPa-s	lamda mW/m-K	Ts K	Qs kJ/kg
0.1	280	2.56908	815.084	1559.28	187.559	351.107	919.848
0.1	290	2.62364	805.924	1262.24	186.505	351.107	919.848
0.1	300	2.68461	796.791	1034.98	185.454	351.107	919.848
0.1	320	2.8257	778.375	719.462	183.368	351.107	919.848
0.1	340	2.99013	759.334	519.326	181.227	351.107	919.848
0.1	360	1.7445	1.46704	26.404	54.0807	351.107	919.848
0.1	380	1.78367	1.38083	11.3141	23.8414	351.107	919.848
0.1	400	1.83003	1.30569	11.9244	26.0574	351.107	919.848
0.1	420	1.8804	1.23928	12.5292	28.3385	351.107	919.848
0.1	440	1.93283	1.17994	13.1285	30.6767	351.107	919.848
0.1	460	1.98608	1.12646	13.7225	33.0649	351.107	919.848
0.1	480	2.03937	1.07792	14.3113	35.4966	351.107	919.848
0.1	500	2.09218	1.03361	14.895	37.9661	351.107	919.848
0.1	520	2.14415	0.992952	15.4735	40.4683	351.107	919.848
0.1	540	2.19508	0.955483	16.0469	42.9987	351.107	919.848
0.1	560	2.24484	0.920822	16.6153	45.5531	351.107	919.848
0.1	580	2.29335	0.888649	17.1786	48.128	351.107	919.848
0.1	600	2.34058	0.858694	17.7368	50.7202	351.107	919.848
0.5	280	2.56887	815.486	1562.69	187.767	398.217	819.496
0.5	290	2.62332	806.349	1265.17	186.713	398.217	819.496
0.5	300	2.68416	797.24	1037.54	185.662	398.217	819.496
0.5	320	2.82491	778.876	721.467	183.581	398.217	819.496
0.5	340	2.98885	759.897	520.964	181.445	398.217	819.496
0.5	360	3.17362	739.746	387.673	179.127	398.217	819.496
0.5	380	3.381	717.749	294.967	176.498	398.217	819.496
0.5	400	2.13361	7.02209	22.165	59.8315	398.217	819.496
0.5	420	2.10242	6.54864	21.1553	61.8835	398.217	819.496
0.5	440	2.10084	6.15853	13.1205	31.5855	398.217	819.496
0.5	460	2.1162	5.82691	13.728	33.9238	398.217	819.496
0.5	480	2.14193	5.5387	14.3276	36.314	398.217	819.496
0.5	500	2.17416	5.2841	14.9201	38.7481	398.217	819.496
0.5	520	2.21049	5.05633	15.5058	41.2196	398.217	819.496
0.5	540	2.24932	4.85053	16.085	43.723	398.217	819.496
0.5	560	2.2896	4.66311	16.6581	46.2536	398.217	819.496
0.5	580	2.3306	4.49131	17.2252	48.8072	398.217	819.496
0.5	600	2.37183	4.33295	17.7865	51.3804	398.217	819.496
1	280	2.56861	815.986	1566.94	188.026	423.601	748.535
1	290	2.62293	806.878	1268.83	186.972	423.601	748.535
1	300	2.6836	797.798	1040.73	185.923	423.601	748.535
1	320	2.82393	779.497	723.964	183.846	423.601	748.535
1	340	2.98727	760.594	523.002	181.718	423.601	748.535
1	360	3.17116	740.541	389.406	179.41	423.601	748.535
1	380	3.37718	718.681	296.504	176.796	423.601	748.535
1	400	3.60695	694.164	228.966	173.767	423.601	748.535
1	420	3.85243	665.895	177.807	170.274	423.601	748.535
1	440	2.37828	13.1201	20.5656	65.1502	423.601	748.535
1	460	2.31657	12.2269	13.7546	35.1983	423.601	748.535
1	480	2.29255	11.5006	14.366	37.4864	423.601	748.535
1	500	2.29058	10.8888	14.9681	39.8426	423.601	748.535
1	520	2.30236	10.3605	15.5616	42.2519	423.601	748.535
1	540	2.32303	9.89583	16.1473	44.7039	423.601	748.535
1	560	2.34955	9.48144	16.7255	47.1912	423.601	748.535
1	580	2.37993	9.10779	17.2968	49.7077	423.601	748.535
1	600	2.41283	8.7679	17.8615	52.2485	423.601	748.535
2	280	2.56811	816.975	1575.4	188.541	453.228	647.24
