station,x_throat_mm,r_inner_mm,slot_pitch_mm,ch_per_slot,ch_width_mm,ch_height_mm,land_mm,wall_t_mm,r_floor_mm,r_ceiling_mm
Injector face,-189.711,48.383,8.444,2,1.200,1.300,3.022,1.000,49.383,50.683
Chamber arc START,-67.924,48.383,8.444,2,1.200,1.172,3.022,1.000,49.383,50.555
Chamber arc MID,-61.510,47.568,8.302,2,1.200,1.165,2.951,1.000,48.568,49.733
Chamber arc END,-55.095,44.946,7.844,2,1.200,1.158,2.722,1.000,45.946,47.104
Upstream split START,-41.504,37.099,6.475,2,1.200,1.144,2.065,1.000,38.099,39.243
Upstream split MID,-36.504,34.212,5.971,1,1.200,1.138,2.783,1.000,35.212,36.351
Upstream split END,-31.504,31.325,5.467,1,1.200,1.133,4.179,1.000,32.325,33.459
Throat conv fillet START,-12.830,20.544,3.586,1,1.200,1.114,2.386,1.000,21.544,22.657
Throat conv fillet MID,-6.415,17.921,3.128,1,1.200,1.107,1.929,1.000,18.921,20.028
Throat,0.000,17.106,2.986,1,1.200,1.101,1.787,1.000,18.106,19.207
Throat div fillet MID,1.634,17.314,3.022,1,1.200,1.109,1.825,1.000,18.314,19.422
Throat div fillet END,3.267,17.982,3.138,1,1.200,1.118,1.939,1.000,18.982,20.099
Bell 5 mm,8.267,20.705,3.614,1,1.200,1.145,2.414,1.000,21.705,22.849
Bell 10 mm,13.267,23.149,4.040,1,1.200,1.172,2.840,1.000,24.149,25.321
Bell 15 mm,18.267,25.370,4.428,1,1.200,1.199,3.228,1.000,26.370,27.568
Bell 20 mm,23.267,27.406,4.783,1,1.200,1.226,3.583,1.000,28.406,29.632
Bell 25 mm,28.267,29.287,5.112,1,1.200,1.253,3.912,1.000,30.287,31.540
Bell 30 mm,33.267,31.035,5.417,1,1.200,1.280,4.217,1.000,32.035,33.315
Bell 35 mm,38.267,32.666,5.701,1,1.200,1.307,4.501,1.000,33.666,34.973
Bell 40 mm,43.267,34.195,5.968,1,1.200,1.334,4.768,1.000,35.195,36.529
Bell 45 mm,48.267,35.633,6.219,1,1.200,1.361,5.019,1.000,36.633,37.994
Bell 50 mm,53.267,36.989,6.456,1,1.200,1.388,5.256,1.000,37.989,39.377
Bell 55 mm,58.267,38.272,6.680,1,1.200,1.415,5.480,1.000,39.272,40.687
Bell 60 mm,63.267,39.487,6.892,1,1.200,1.442,5.692,1.000,40.487,41.929
Bell 65 mm,68.267,40.641,7.093,1,1.200,1.469,5.893,1.000,41.641,43.110
Bell 70 mm,73.267,41.739,7.285,1,1.200,1.496,6.085,1.000,42.739,44.234
Nozzle exit,74.029,41.901,7.313,1,1.200,1.496,6.086,1.000,42.901,44.397
