x_mm,r_mm
-189.71091,48.38320
-189.51091,48.38320
-189.31091,48.38320
-189.11091,48.38320
-188.91091,48.38320
-188.71091,48.38320
-188.51091,48.38320
-188.31091,48.38320
-188.11091,48.38320
-187.91091,48.38320
-187.71091,48.38320
-187.51091,48.38320
-187.31091,48.38320
-187.11091,48.38320
-186.91091,48.38320
-186.71091,48.38320
-186.51091,48.38320
-186.31091,48.38320
-186.11091,48.38320
-185.91091,48.38320
-185.71091,48.38320
-185.51091,48.38320
-185.31091,48.38320
-185.11091,48.38320
-184.91091,48.38320
-184.71091,48.38320
-184.51091,48.38320
-184.31091,48.38320
-184.11091,48.38320
-183.91091,48.38320
-183.71091,48.38320
-183.51091,48.38320
-183.31091,48.38320
-183.11091,48.38320
-182.91091,48.38320
-182.71091,48.38320
-182.51091,48.38320
-182.31091,48.38320
-182.11091,48.38320
-181.91091,48.38320
-181.71091,48.38320
-181.51091,48.38320
-181.31091,48.38320
-181.11091,48.38320
-180.91091,48.38320
-180.71091,48.38320
-180.51091,48.38320
-180.31091,48.38320
-180.11091,48.38320
-179.91091,48.38320
-179.71091,48.38320
-179.51091,48.38320
-179.31091,48.38320
-179.11091,48.38320
-178.91091,48.38320
-178.71091,48.38320
-178.51091,48.38320
-178.31091,48.38320
-178.11091,48.38320
-177.91091,48.38320
-177.71091,48.38320
-177.51091,48.38320
-177.31091,48.38320
-177.11091,48.38320
-176.91091,48.38320
-176.71091,48.38320
-176.51091,48.38320
-176.31091,48.38320
-176.11091,48.38320
-175.91091,48.38320
-175.71091,48.38320
-175.51091,48.38320
-175.31091,48.38320
-175.11091,48.38320
-174.91091,48.38320
-174.71091,48.38320
-174.51091,48.38320
-174.31091,48.38320
-174.11091,48.38320
-173.91091,48.38320
-173.71091,48.38320
-173.51091,48.38320
-173.31091,48.38320
-173.11091,48.38320
-172.91091,48.38320
-172.71091,48.38320
-172.51091,48.38320
-172.31091,48.38320
-172.11091,48.38320
-171.91091,48.38320
-171.71091,48.38320
-171.51091,48.38320
-171.31091,48.38320
-171.11091,48.38320
-170.91091,48.38320
-170.71091,48.38320
-170.51091,48.38320
-170.31091,48.38320
-170.11091,48.38320
-169.91091,48.38320
-169.71091,48.38320
-169.51091,48.38320
-169.31091,48.38320
-169.11091,48.38320
-168.91091,48.38320
-168.71091,48.38320
-168.51091,48.38320
-168.31091,48.38320
-168.11091,48.38320
-167.91091,48.38320
-167.71091,48.38320
-167.51091,48.38320
-167.31091,48.38320
-167.11091,48.38320
-166.91091,48.38320
-166.71091,48.38320
-166.51091,48.38320
-166.31091,48.38320
-166.11091,48.38320
-165.91091,48.38320
-165.71091,48.38320
-165.51091,48.38320
-165.31091,48.38320
-165.11091,48.38320
-164.91091,48.38320
-164.71091,48.38320
-164.51091,48.38320
-164.31091,48.38320
-164.11091,48.38320
-163.91091,48.38320
-163.71091,48.38320
-163.51091,48.38320
-163.31091,48.38320
-163.11091,48.38320
-162.91091,48.38320
-162.71091,48.38320
-162.51091,48.38320
-162.31091,48.38320
-162.11091,48.38320
-161.91091,48.38320
-161.71091,48.38320
-161.51091,48.38320
-161.31091,48.38320
-161.11091,48.38320
-160.91091,48.38320
-160.71091,48.38320
-160.51091,48.38320
-160.31091,48.38320
-160.11091,48.38320
-159.91091,48.38320
-159.71091,48.38320
-159.51091,48.38320
-159.31091,48.38320
-159.11091,48.38320
-158.91091,48.38320
-158.71091,48.38320
-158.51091,48.38320
-158.31091,48.38320
-158.11091,48.38320
-157.91091,48.38320
-157.71091,48.38320
-157.51091,48.38320
-157.31091,48.38320
-157.11091,48.38320
-156.91091,48.38320
-156.71091,48.38320
-156.51091,48.38320
-156.31091,48.38320
-156.11091,48.38320
-155.91091,48.38320
-155.71091,48.38320
-155.51091,48.38320
-155.31091,48.38320
-155.11091,48.38320
-154.91091,48.38320
-154.71091,48.38320
-154.51091,48.38320
-154.31091,48.38320
-154.11091,48.38320
-153.91091,48.38320
-153.71091,48.38320
-153.51091,48.38320
-153.31091,48.38320
-153.11091,48.38320
-152.91091,48.38320
-152.71091,48.38320
-152.51091,48.38320
-152.31091,48.38320
-152.11091,48.38320
-151.91091,48.38320
-151.71091,48.38320
-151.51091,48.38320
-151.31091,48.38320
-151.11091,48.38320
-150.91091,48.38320
-150.71091,48.38320
-150.51091,48.38320
-150.31091,48.38320
-150.11091,48.38320
-149.91091,48.38320
-149.71091,48.38320
-149.51091,48.38320
-149.31091,48.38320
-149.11091,48.38320
-148.91091,48.38320
-148.71091,48.38320
-148.51091,48.38320
-148.31091,48.38320
-148.11091,48.38320
-147.91091,48.38320
-147.71091,48.38320
-147.51091,48.38320
-147.31091,48.38320
-147.11091,48.38320
-146.91091,48.38320
-146.71091,48.38320
-146.51091,48.38320
-146.31091,48.38320
-146.11091,48.38320
-145.91091,48.38320
-145.71091,48.38320
-145.51091,48.38320
-145.31091,48.38320
-145.11091,48.38320
-144.91091,48.38320
-144.71091,48.38320
-144.51091,48.38320
-144.31091,48.38320
-144.11091,48.38320
-143.91091,48.38320
-143.71091,48.38320
-143.51091,48.38320
-143.31091,48.38320
-143.11091,48.38320
-142.91091,48.38320
-142.71091,48.38320
-142.51091,48.38320
-142.31091,48.38320
-142.11091,48.38320
-141.91091,48.38320
-141.71091,48.38320
-141.51091,48.38320
-141.31091,48.38320
-141.11091,48.38320
-140.91091,48.38320
-140.71091,48.38320
-140.51091,48.38320
-140.31091,48.38320
-140.11091,48.38320
-139.91091,48.38320
-139.71091,48.38320
-139.51091,48.38320
-139.31091,48.38320
-139.11091,48.38320
-138.91091,48.38320
-138.71091,48.38320
-138.51091,48.38320
-138.31091,48.38320
-138.11091,48.38320
-137.91091,48.38320
-137.71091,48.38320
-137.51091,48.38320
-137.31091,48.38320
-137.11091,48.38320
-136.91091,48.38320
-136.71091,48.38320
-136.51091,48.38320
-136.31091,48.38320
-136.11091,48.38320
-135.91091,48.38320
-135.71091,48.38320
-135.51091,48.38320
-135.31091,48.38320
-135.11091,48.38320
-134.91091,48.38320
-134.71091,48.38320
-134.51091,48.38320
-134.31091,48.38320
-134.11091,48.38320
-133.91091,48.38320
-133.71091,48.38320
-133.51091,48.38320
-133.31091,48.38320
-133.11091,48.38320
-132.91091,48.38320
-132.71091,48.38320
-132.51091,48.38320
-132.31091,48.38320
-132.11091,48.38320
-131.91091,48.38320
-131.71091,48.38320
-131.51091,48.38320
-131.31091,48.38320
-131.11091,48.38320
-130.91091,48.38320
-130.71091,48.38320
-130.51091,48.38320
-130.31091,48.38320
-130.11091,48.38320
-129.91091,48.38320
-129.71091,48.38320
-129.51091,48.38320
-129.31091,48.38320
-129.11091,48.38320
-128.91091,48.38320
-128.71091,48.38320
-128.51091,48.38320
-128.31091,48.38320
-128.11091,48.38320
-127.91091,48.38320
-127.71091,48.38320
-127.51091,48.38320
-127.31091,48.38320
-127.11091,48.38320
-126.91091,48.38320
-126.71091,48.38320
-126.51091,48.38320
-126.31091,48.38320
-126.11091,48.38320
-125.91091,48.38320
-125.71091,48.38320
-125.51091,48.38320
-125.31091,48.38320
-125.11091,48.38320
-124.91091,48.38320
-124.71091,48.38320
-124.51091,48.38320
-124.31091,48.38320
-124.11091,48.38320
-123.91091,48.38320
-123.71091,48.38320
-123.51091,48.38320
-123.31091,48.38320
-123.11091,48.38320
-122.91091,48.38320
-122.71091,48.38320
-122.51091,48.38320
-122.31091,48.38320
-122.11091,48.38320
-121.91091,48.38320
-121.71091,48.38320
-121.51091,48.38320
-121.31091,48.38320
-121.11091,48.38320
-120.91091,48.38320
-120.71091,48.38320
-120.51091,48.38320
-120.31091,48.38320
-120.11091,48.38320
-119.91091,48.38320
-119.71091,48.38320
-119.51091,48.38320
-119.31091,48.38320
-119.11091,48.38320
-118.91091,48.38320
-118.71091,48.38320
-118.51091,48.38320
-118.31091,48.38320
-118.11091,48.38320
-117.91091,48.38320
-117.71091,48.38320
-117.51091,48.38320
-117.31091,48.38320
-117.11091,48.38320
-116.91091,48.38320
-116.71091,48.38320
-116.51091,48.38320
-116.31091,48.38320
-116.11091,48.38320
-115.91091,48.38320
-115.71091,48.38320
-115.51091,48.38320
-115.31091,48.38320
-115.11091,48.38320
-114.91091,48.38320
-114.71091,48.38320
-114.51091,48.38320
-114.31091,48.38320
-114.11091,48.38320
-113.91091,48.38320
-113.71091,48.38320
-113.51091,48.38320
-113.31091,48.38320
-113.11091,48.38320
-112.91091,48.38320
-112.71091,48.38320
-112.51091,48.38320
-112.31091,48.38320
-112.11091,48.38320
-111.91091,48.38320
-111.71091,48.38320
-111.51091,48.38320
-111.31091,48.38320
-111.11091,48.38320
-110.91091,48.38320
-110.71091,48.38320
-110.51091,48.38320
-110.31091,48.38320
-110.11091,48.38320
-109.91091,48.38320
-109.71091,48.38320
-109.51091,48.38320
-109.31091,48.38320
-109.11091,48.38320
-108.91091,48.38320
-108.71091,48.38320
-108.51091,48.38320
-108.31091,48.38320
-108.11091,48.38320
-107.91091,48.38320
-107.71091,48.38320
-107.51091,48.38320
-107.31091,48.38320
-107.11091,48.38320
-106.91091,48.38320
-106.71091,48.38320
-106.51091,48.38320
-106.31091,48.38320
-106.11091,48.38320
-105.91091,48.38320
-105.71091,48.38320
-105.51091,48.38320
-105.31091,48.38320
-105.11091,48.38320
-104.91091,48.38320
-104.71091,48.38320
-104.51091,48.38320
-104.31091,48.38320
-104.11091,48.38320
-103.91091,48.38320
-103.71091,48.38320
-103.51091,48.38320
-103.31091,48.38320
-103.11091,48.38320
-102.91091,48.38320
-102.71091,48.38320
-102.51091,48.38320
-102.31091,48.38320
-102.11091,48.38320
-101.91091,48.38320
-101.71091,48.38320
-101.51091,48.38320
-101.31091,48.38320
-101.11091,48.38320
-100.91091,48.38320
-100.71091,48.38320
-100.51091,48.38320
-100.31091,48.38320
-100.11091,48.38320
-99.91091,48.38320
-99.71091,48.38320
-99.51091,48.38320
-99.31091,48.38320
-99.11091,48.38320
-98.91091,48.38320
-98.71091,48.38320
-98.51091,48.38320
-98.31091,48.38320
-98.11091,48.38320
-97.91091,48.38320
-97.71091,48.38320
-97.51091,48.38320
-97.31091,48.38320
-97.11091,48.38320
-96.91091,48.38320
-96.71091,48.38320
-96.51091,48.38320
-96.31091,48.38320
-96.11091,48.38320
-95.91091,48.38320
-95.71091,48.38320
-95.51091,48.38320
-95.31091,48.38320
-95.11091,48.38320
-94.91091,48.38320
-94.71091,48.38320
-94.51091,48.38320
-94.31091,48.38320
-94.11091,48.38320
-93.91091,48.38320
-93.71091,48.38320
-93.51091,48.38320
-93.31091,48.38320
-93.11091,48.38320
-92.91091,48.38320
-92.71091,48.38320
-92.51091,48.38320
-92.31091,48.38320
-92.11091,48.38320
-91.91091,48.38320
-91.71091,48.38320
-91.51091,48.38320
-91.31091,48.38320
-91.11091,48.38320
-90.91091,48.38320
-90.71091,48.38320
-90.51091,48.38320
-90.31091,48.38320
-90.11091,48.38320
-89.91091,48.38320
-89.71091,48.38320
-89.51091,48.38320
-89.31091,48.38320
-89.11091,48.38320
-88.91091,48.38320
-88.71091,48.38320
-88.51091,48.38320
-88.31091,48.38320
-88.11091,48.38320
-87.91091,48.38320
-87.71091,48.38320
-87.51091,48.38320
-87.31091,48.38320
-87.11091,48.38320
-86.91091,48.38320
-86.71091,48.38320
-86.51091,48.38320
-86.31091,48.38320
-86.11091,48.38320
-85.91091,48.38320
-85.71091,48.38320
-85.51091,48.38320
-85.31091,48.38320
-85.11091,48.38320
-84.91091,48.38320
-84.71091,48.38320
-84.51091,48.38320
-84.31091,48.38320
-84.11091,48.38320
-83.91091,48.38320
-83.71091,48.38320
-83.51091,48.38320
-83.31091,48.38320
-83.11091,48.38320
-82.91091,48.38320
-82.71091,48.38320
-82.51091,48.38320
-82.31091,48.38320
-82.11091,48.38320
-81.91091,48.38320
-81.71091,48.38320
-81.51091,48.38320
-81.31091,48.38320
-81.11091,48.38320
-80.91091,48.38320
